epoch;loss;val_loss
0;4.502971172332764;NA
1;3.758084535598755;NA
2;3.5884714126586914;NA
3;3.5332000255584717;NA
4;3.4887897968292236;NA
5;3.2900519371032715;NA
6;3.324592351913452;NA
7;3.1234982013702393;NA
8;3.0773262977600098;NA
9;3.148200750350952;NA
10;3.0210840702056885;NA
11;2.995553493499756;NA
12;2.9257395267486572;NA
13;2.9098124504089355;NA
14;2.8881893157958984;NA
15;2.999298334121704;NA
16;2.7426681518554688;NA
17;2.7304019927978516;NA
18;2.7148513793945312;NA
19;2.6314175128936768;NA
20;2.5822317600250244;NA
21;2.6733438968658447;NA
22;2.629621744155884;NA
23;2.4635133743286133;NA
24;2.525864362716675;NA
25;2.4077723026275635;NA
26;2.379936695098877;NA
27;2.32258939743042;NA
28;2.3317105770111084;NA
29;2.186372995376587;NA
30;2.2543818950653076;NA
31;2.1681530475616455;NA
32;2.190734624862671;NA
33;2.0744612216949463;NA
34;2.09796404838562;NA
35;2.078810214996338;NA
36;1.9988462924957275;NA
37;2.022629737854004;NA
38;1.9421035051345825;NA
39;1.997017502784729;NA
40;1.8404775857925415;NA
41;1.8384617567062378;NA
42;1.8161033391952515;NA
43;1.8361343145370483;NA
44;1.7741304636001587;NA
45;1.7145726680755615;NA
46;1.664832353591919;NA
47;1.6858248710632324;NA
48;1.6409430503845215;NA
49;1.6105178594589233;NA
50;1.550667405128479;NA
51;1.5915991067886353;NA
52;1.5495840311050415;NA
53;1.4603146314620972;NA
54;1.5288575887680054;NA
55;1.4125272035598755;NA
56;1.4547080993652344;NA
57;1.3859844207763672;NA
58;1.3431638479232788;NA
59;1.4293924570083618;NA
60;1.358726143836975;NA
61;1.3545782566070557;NA
62;1.3163697719573975;NA
63;1.250149130821228;NA
64;1.2597908973693848;NA
65;1.2596975564956665;NA
66;1.2357966899871826;NA
67;1.1954206228256226;NA
68;1.1485744714736938;NA
69;1.2017875909805298;NA
70;1.215505838394165;NA
71;1.1515226364135742;NA
72;1.0653910636901855;NA
73;1.0934923887252808;NA
74;1.0479661226272583;NA
75;1.0152239799499512;NA
76;1.0803943872451782;NA
77;0.9543595910072327;NA
78;0.9597713351249695;NA
79;0.9857665300369263;NA
80;0.8886570930480957;NA
81;0.946135938167572;NA
82;0.9310709834098816;NA
83;0.787089467048645;NA
84;0.9130484461784363;NA
85;0.8101896047592163;NA
86;0.8037074208259583;NA
87;0.8359564542770386;NA
88;0.78472900390625;NA
89;0.7014040350914001;NA
90;0.6814197897911072;NA
91;0.745641827583313;NA
92;0.6508125066757202;NA
93;0.6612305641174316;NA
94;0.8296264410018921;NA
95;0.5960453748703003;NA
96;0.626423180103302;NA
97;0.7251379489898682;NA
98;0.5268956422805786;NA
99;0.6018392443656921;NA
